Date,Strategy,^TA125.TA
2021-03-31,100000.0,90795.84274124041
2021-04-01,100015.56498627913,91255.09103986352
2021-04-02,100031.13239524624,91255.09103986352
2021-04-05,100046.70222727841,92317.94770699936
2021-04-06,100062.27448275281,92086.4183080092
2021-04-07,100077.84916204662,92240.04194788948
2021-04-08,100093.42626553714,92531.50192315778
2021-04-09,100109.00579360168,92531.50192315778
2021-04-12,100124.58774661763,92539.12292187223
2021-04-13,100140.17212496242,92604.4999186976
2021-04-14,100155.75892901357,92604.4999186976
2021-04-15,100171.34815914862,92604.4999186976
2021-04-16,100186.93981574521,92604.4999186976
2021-04-19,100202.53389918101,93132.92906341718
2021-04-20,100218.13040983376,92637.73039913057
2021-04-21,100233.72934808125,92366.97879209687
2021-04-22,100249.33071430134,92667.69568726963
2021-04-23,100264.93450887193,92667.69568726963
2021-04-26,100280.54073217101,92843.11165942503
2021-04-27,100296.14938457661,92711.81900879709
2021-04-28,100311.7604664668,93046.31169146615
2021-04-29,100327.37397821975,93552.95515399672
2021-04-30,100342.98992021367,93552.95515399672
2021-05-03,100358.60829282682,94542.26186844327
2021-05-04,100374.22909643751,93630.30895595714
2021-05-05,100389.85233142415,94341.2430646555
2021-05-06,100405.47799816517,93937.56288580383
2021-05-07,100421.10609703907,93937.56288580383
2021-05-10,100436.73662842442,94174.53870534124
2021-05-11,100452.36959269983,92500.44602089204
2021-05-12,100468.004990244,92600.68276925424
2021-05-13,100483.64282143564,93353.0203142495
2021-05-14,100499.28308665357,93353.0203142495
2021-05-17,100514.92578627662,93353.0203142495
2021-05-18,100530.57092068373,94613.63059287923
2021-05-19,100546.21849025387,94068.31022936845
2021-05-20,100561.86849536606,95662.32257654055
2021-05-21,100577.52093639939,95662.32257654055
2021-05-24,100593.17581373303,96767.66664401384
2021-05-25,100608.83312774618,96430.99938317755
2021-05-26,100624.49287881811,96778.02082813114
2021-05-27,100640.15506732815,96810.1606944374
2021-05-28,100655.81969365566,96810.1606944374
2021-05-31,100671.48675818012,96685.95038554672
2021-06-01,100687.15626128102,95942.88306062821
2021-06-02,100702.82820333794,96255.03810395881
2021-06-03,100718.50258473048,95527.21942655537
2021-06-04,100734.17940583834,95527.21942655537
2021-06-07,100749.85866704125,96034.40154606315
2021-06-08,100765.54036871901,95873.15025738227
2021-06-09,100781.2245112515,95726.60230915311
2021-06-10,100796.9110950186,96034.94685312649
2021-06-11,100812.60012040033,96034.94685312649
2021-06-14,100828.2915877767,97286.29356176559
2021-06-15,100843.98549752781,96874.99238419945
2021-06-16,100859.68185003383,96766.03737290997
2021-06-17,100875.38064567496,96101.4078139924
2021-06-18,100891.08188483148,96101.4078139924
2021-06-21,100906.78556788372,95920.00011422641
2021-06-22,100922.49169521207,96242.5093416743
2021-06-23,100938.20026719698,96481.12108240173
2021-06-24,100953.91128421896,96345.46597526707
2021-06-25,100969.62474665859,96345.46597526707
2021-06-28,100985.3406548965,96620.03473174415
2021-06-29,101001.05900931337,96465.86578480052
2021-06-30,101016.77981028994,96271.37736560055
2021-07-01,101032.50305820703,96326.40017830864
2021-07-02,101048.2287534455,96326.40017830864
2021-07-05,101063.95689638627,96460.96467131661
2021-07-06,101079.68748741034,96233.2457716837
2021-07-07,101095.42052689874,96761.12960933991
2021-07-08,101111.15601523258,94710.60214894754
2021-07-09,101126.89395279302,94710.60214894754
2021-07-12,101142.63433996128,95896.57186076127
2021-07-13,101158.37717711864,95759.29413260886
2021-07-14,101174.12246464645,95508.69228657414
2021-07-15,101189.8702029261,94555.33593779111
2021-07-16,101205.62039233906,94555.33593779111
2021-07-19,101221.37303326683,91754.65216065683
2021-07-20,101237.128126091,93044.67577027614
2021-07-21,101252.88567119322,94481.24732812459
2021-07-22,101268.64566895516,94540.08729027605
2021-07-23,101284.40811975859,94540.08729027605
2021-07-26,101300.17302398532,95165.48799106393
2021-07-27,101315.94038201723,94623.43281984705
2021-07-28,101331.71019423626,95751.12117674493
2021-07-29,101347.4824610244,96200.56059831407
2021-07-30,101363.2571827637,96200.56059831407
2021-08-02,101379.03435983627,97316.80415696799
2021-08-03,101394.81399262429,95976.11354106118
2021-08-04,101410.59608150998,95951.59467346936
2021-08-05,101426.38062687565,95696.64367110019
