,Value
2017-01-31,99980.10695908853
2017-02-01,99791.39125488751
2017-02-02,100171.68931654537
2017-02-03,100744.24709666971
2017-02-06,100564.81793502941
2017-02-07,101179.60361194506
2017-02-08,101215.73431922107
2017-02-09,101924.78658223743
2017-02-10,101940.15273454465
2017-02-13,102644.11755054827
2017-02-14,102914.0289935828
2017-02-15,104020.5474449668
2017-02-16,103905.09914992609
2017-02-17,104600.60989438715
2017-02-20,104600.6792709046
2017-02-21,104871.51584614546
2017-02-22,104654.70112957605
2017-02-23,104821.28798646497
2017-02-24,105307.33672118072
2017-02-27,105232.33230381738
2017-02-28,105115.69957985787
2017-03-01,106494.04505344988
2017-03-02,105877.0482800834
2017-03-03,105723.55855442172
2017-03-06,105054.07314514239
2017-03-07,104663.07846047988
2017-03-08,104901.7826458627
2017-03-09,104735.22716738029
2017-03-10,105536.2348515968
2017-03-13,105474.27573850297
2017-03-14,104920.14926856727
2017-03-15,106172.28280995453
2017-03-16,105518.40612188182
2017-03-17,105950.25585290945
2017-03-20,105775.7134041002
2017-03-21,104831.8355381501
2017-03-22,105574.44711292093
2017-03-23,105424.96159377779
2017-03-24,105410.77878004429
2017-03-27,105256.28994140502
2017-03-28,105845.92823673524
2017-03-29,105803.71059184748
2017-03-30,105719.8904628582
2017-03-31,105430.71377805395
2017-04-03,104868.79315099506
2017-04-04,104348.67849930392
2017-04-05,104069.08156919721
2017-04-06,104146.93812117381
2017-04-07,104183.65139162376
2017-04-10,104260.55534203473
2017-04-11,104306.03771024202
2017-04-12,104064.65995909987
2017-04-13,103296.7409611712
2017-04-17,104208.44350484788
2017-04-18,104254.69152506716
2017-04-19,104406.04276108764
2017-04-20,105524.55208351549
2017-04-21,105420.12301865764
2017-04-24,106814.99637309443
2017-04-25,106937.4134798344
2017-04-26,106635.97796131484
2017-04-27,106489.07215701403
2017-04-28,105840.66260440831
2017-05-01,106060.21304008878
2017-05-02,105919.88655309426
2017-05-03,105381.35541625277
2017-05-04,106188.48268002609
2017-05-05,106510.62975074147
2017-05-08,106734.19495718097
2017-05-09,107458.20659295513
2017-05-10,107506.01022767554
2017-05-11,107024.58361166086
2017-05-12,107248.6970490183
2017-05-15,108185.54761874124
2017-05-16,108378.94654088785
2017-05-17,105982.01062548893
2017-05-18,106878.19246663379
2017-05-19,108829.57444843285
2017-05-22,109763.78803107678
2017-05-23,110111.90021400193
2017-05-24,109688.79505330049
2017-05-25,110457.12564040402
2017-05-26,110751.55845251677
2017-05-29,110751.60411738622
2017-05-30,111024.04336239974
2017-05-31,111037.36065956923
2017-06-01,111531.56488419091
2017-06-02,111901.6297365547
2017-06-05,111316.23474775876
2017-06-06,111156.31387013535
2017-06-07,111746.44629043469
2017-06-08,111485.79960174755
2017-06-09,110056.39223311016
2017-06-12,110256.19275423409
2017-06-13,110829.92880310255
2017-06-14,110563.9300010866
2017-06-15,110504.65123176231
2017-06-16,110662.98252885231
2017-06-19,111598.07856688727
2017-06-20,110234.53878358148
2017-06-21,110272.04215841198
2017-06-22,110592.01979845803
2017-06-23,110462.73081118325
2017-06-26,110395.23777669699
2017-06-27,109255.5044973375
2017-06-28,109709.74020162113
2017-06-29,108660.97525405444
2017-06-30,109027.1742416568
2017-07-03,108586.25741328001
2017-07-04,108586.30234312054
2017-07-05,108744.95772617134
2017-07-06,107901.36443348127
2017-07-07,108865.17507392266
2017-07-10,108655.91125203433
2017-07-11,108276.51997785748
2017-07-12,109787.52229442536
2017-07-13,110130.0318977875
2017-07-14,110890.31996460493
2017-07-17,110691.48397946711
2017-07-18,110568.29786434138
2017-07-19,111181.75279774115
2017-07-20,111885.43555067858
