Date,Value
2021-03-31,100000.0
2021-04-01,100015.56498627913
2021-04-02,100031.13239524624
2021-04-05,100046.70222727841
2021-04-06,100062.27448275281
2021-04-07,100077.84916204662
2021-04-08,100093.42626553714
2021-04-09,100109.00579360168
2021-04-12,100124.58774661763
2021-04-13,100140.17212496242
2021-04-14,100155.75892901357
2021-04-15,100171.34815914862
2021-04-16,100186.93981574521
2021-04-19,100202.53389918101
2021-04-20,100218.13040983376
2021-04-21,100233.72934808125
2021-04-22,100249.33071430134
2021-04-23,100264.93450887193
2021-04-26,100280.54073217101
2021-04-27,100296.14938457661
2021-04-28,100311.7604664668
2021-04-29,100327.37397821975
2021-04-30,100342.98992021367
2021-05-03,100358.60829282682
2021-05-04,100374.22909643751
2021-05-05,100389.85233142415
2021-05-06,100405.47799816517
2021-05-07,100421.10609703907
2021-05-10,100436.73662842442
2021-05-11,100452.36959269983
2021-05-12,100468.004990244
2021-05-13,100483.64282143564
2021-05-14,100499.28308665357
2021-05-17,100514.92578627662
2021-05-18,100530.57092068373
2021-05-19,100546.21849025387
2021-05-20,100561.86849536606
2021-05-21,100577.52093639939
2021-05-24,100593.17581373303
2021-05-25,100608.83312774618
2021-05-26,100624.49287881811
2021-05-27,100640.15506732815
2021-05-28,100655.81969365566
2021-05-31,100671.48675818012
2021-06-01,100687.15626128102
2021-06-02,100702.82820333794
2021-06-03,100718.50258473048
2021-06-04,100734.17940583834
2021-06-07,100749.85866704125
2021-06-08,100765.54036871901
2021-06-09,100781.2245112515
2021-06-10,100796.9110950186
2021-06-11,100812.60012040033
2021-06-14,100828.2915877767
2021-06-15,100843.98549752781
2021-06-16,100859.68185003383
2021-06-17,100875.38064567496
2021-06-18,100891.08188483148
2021-06-21,100906.78556788372
2021-06-22,100922.49169521207
2021-06-23,100938.20026719698
2021-06-24,100953.91128421896
2021-06-25,100969.62474665859
2021-06-28,100985.3406548965
2021-06-29,101001.05900931337
2021-06-30,101016.77981028994
2021-07-01,101032.50305820703
2021-07-02,101048.2287534455
2021-07-05,101063.95689638627
2021-07-06,101079.68748741034
2021-07-07,101095.42052689874
2021-07-08,101111.15601523258
2021-07-09,101126.89395279302
2021-07-12,101142.63433996128
2021-07-13,101158.37717711864
2021-07-14,101174.12246464645
2021-07-15,101189.8702029261
2021-07-16,101205.62039233906
2021-07-19,101221.37303326683
2021-07-20,101237.128126091
2021-07-21,101252.88567119322
2021-07-22,101268.64566895516
2021-07-23,101284.40811975859
2021-07-26,101300.17302398532
2021-07-27,101315.94038201723
2021-07-28,101331.71019423626
2021-07-29,101347.4824610244
2021-07-30,101363.2571827637
2021-08-02,101379.03435983627
2021-08-03,101394.81399262429
2021-08-04,101410.59608150998
2021-08-05,101426.38062687565
2021-08-06,101442.16762910363
2021-08-09,101457.95708857634
2021-08-10,101473.74900567626
2021-08-11,101489.54338078591
2021-08-12,101505.34021428788
2021-08-13,101521.13950656481
2021-08-16,101536.94125799942
2021-08-17,101552.74546897448
2021-08-18,101568.5521398728
2021-08-19,101584.36127107729
2021-08-20,101600.17286297087
2021-08-23,101615.98691593656
2021-08-24,101631.80343035742
2021-08-25,101647.62240661659
2021-08-26,101663.44384509724
2021-08-27,101679.26774618261
2021-08-30,101695.09411025602
2021-08-31,101710.92293770082
2021-09-01,101726.75422890045
2021-09-02,101742.58798423837
2021-09-03,101758.42420409815
2021-09-07,101774.26288886338
2021-09-08,101790.1040389177
2021-09-09,101805.94765464487
2021-09-10,101821.79373642865
2021-09-13,101837.64228465289
2021-09-14,101853.49329970148
2021-09-15,101869.34678195839
2021-09-16,101885.20273180764
2021-09-17,101901.06114963331
2021-09-20,101916.92203581955
2021-09-21,101932.78539075053
2021-09-22,101948.65121481054
2021-09-23,101964.51950838388
2021-09-24,101980.39027185494
2021-09-27,101996.26350560815
2021-09-28,102012.13921002802
2021-09-29,102028.0173854991
2021-09-30,102043.89803240602
2021-10-01,102059.78115113346
2021-10-04,102075.66674206614
2021-10-05,102091.55480558886
2021-10-06,102107.4453420865
2021-10-07,102123.33835194397
2021-10-08,102139.23383554623
2021-10-11,102155.13179327833
2021-10-12,102171.03222552537
2021-10-13,102186.93513267252
2021-10-14,102202.84051510498
2021-10-15,102218.74837320803
2021-10-18,102234.65870736701
2021-10-19,102250.57151796733
2021-10-20,102266.48680539442
2021-10-21,102282.40457003383
2021-10-22,102298.32481227112
2021-10-25,102314.24753249194
2021-10-26,102330.17273108196
2021-10-27,102346.10040842695
2021-10-28,102362.03056491274
2021-10-29,102377.96320092521
2021-11-01,102393.89831685029
2021-11-02,102409.83591307397
2021-11-03,102425.77598998231
2021-11-04,102441.71854796144
2021-11-05,102457.66358739753
2021-11-08,102473.61110867682
2021-11-09,102489.5611121856
2021-11-10,102505.51359831025
2021-11-11,102521.46856743717
2021-11-12,102537.42601995285
2021-11-15,102553.38595624383
2021-11-16,102569.3483766967
2021-11-17,102585.31328169812
2021-11-18,102601.28067163481
2021-11-19,102617.25054689356
2021-11-22,102633.2229078612
2021-11-23,102649.19775492464
2021-11-24,102665.17508847083
2021-11-25,102681.15490888679
2021-11-26,102697.13721655961
2021-11-29,102713.12201187642
2021-11-30,102729.10929522442
2021-12-01,102745.0990669909
2021-12-02,102761.09132756315
2021-12-03,102777.08607732857
2021-12-06,102793.08331667459
2021-12-07,102809.08304598872
2021-12-08,102825.08526565852
2021-12-09,102841.08997607161
2021-12-10,102857.0971776157
2021-12-13,102873.1068706785
2021-12-14,102889.11905564784
2021-12-15,102905.13373291156
2021-12-16,102921.15090285761
2021-12-17,102937.17056587397
2021-12-20,102953.19272234867
2021-12-21,102969.21737266982
2021-12-22,102985.2445172256
2021-12-23,103001.27415640422
2021-12-27,103017.30629059399
2021-12-28,103033.34092018324
2021-12-29,103049.3780455604
2021-12-30,103065.41766711391
2021-12-31,103081.45978523232
2022-01-03,103097.50440030421
2022-01-04,103113.55151271824
2022-01-05,103129.60112286313
2022-01-06,103145.65323112761
2022-01-07,103161.70783790055
2022-01-10,103177.76494357083
2022-01-11,103193.82454852741
2022-01-12,103209.8866531593
2022-01-13,103225.95125785556
2022-01-14,103242.01836300534
2022-01-17,103258.08796899783
2022-01-18,103274.1600762223
2022-01-19,103290.23468506805
2022-01-20,103306.31179592446
2022-01-21,103322.39140918096
2022-01-24,103338.47352522706
2022-01-25,103354.55814445233
2022-01-26,103370.64526724636
2022-01-27,103386.73489399886
2022-01-28,103402.82702509954
2022-01-31,103418.92166093823
2022-02-01,103435.01880190478
2022-02-02,103451.11844838911
2022-02-03,103467.2206007812
2022-02-04,103483.32525947111
2022-02-07,103499.43242484893
2022-02-08,103515.54209730483
2022-02-09,103531.65427722904
2022-02-10,103547.76896501184
2022-02-11,103563.88616104359
2022-02-14,103580.00586571469
2022-02-15,103596.1280794156
2022-02-16,103612.25280253687
2022-02-17,103628.38003546908
2022-02-18,103644.50977860288
2022-02-21,103660.64203232898
2022-02-22,103676.77679703817
2022-02-23,103692.91407312127
2022-02-24,103709.05386096917
2022-02-25,103725.19616097285
2022-02-28,103741.3409735233
2022-03-01,103757.48829901162
2022-03-02,103773.63813782892
2022-03-03,103789.79049036643
2022-03-04,103805.94535701539
2022-03-07,103822.10273816712
2022-03-08,103838.26263421301
2022-03-09,103854.42504554451
2022-03-10,103870.58997255312
2022-03-11,103886.75741563039
2022-03-14,103902.92737516796
2022-03-15,103919.09985155752
2022-03-16,103935.27484519081
2022-03-17,103951.45235645963
2022-03-18,103967.63238575586
2022-03-21,103983.81493347144
2022-03-22,103999.99999999834
2022-03-23,104016.18758572864
2022-03-24,104032.37769105443
2022-03-25,104048.57031636788
2022-03-28,104064.76546206126
2022-03-29,104080.96312852684
2022-03-30,104097.16331615698
2022-03-31,104113.36602534409
2022-04-01,104129.57125648067
2022-04-04,104145.77900995925
2022-04-05,104161.98928617244
2022-04-06,104178.2020855129
2022-04-07,104194.41740837334
2022-04-08,104210.63525514657
2022-04-11,104226.85562622543
2022-04-12,104243.07852200282
2022-04-13,104259.3039428717
2022-04-14,104275.53188922512
2022-04-15,104291.76236145617
2022-04-18,104307.99535995799
2022-04-19,104324.2308851238
2022-04-20,104340.46893734687
2022-04-21,104356.70951702054
2022-04-22,104372.95262453821
2022-04-25,104389.19826029334
2022-04-26,104405.44642467945
2022-04-27,104421.69711809012
2022-04-28,104437.95034091898
2022-04-29,104454.20609355974
2022-05-02,104470.46437640618
2022-05-03,104486.7251898521
2022-05-04,104502.98853429142
2022-05-05,104519.25441011805
2022-05-06,104535.52281772603
2022-05-09,104551.79375750943
2022-05-10,104568.06722986237
2022-05-11,104584.34323517904
2022-05-12,104600.62177385371
2022-05-13,104616.90284628069
2022-05-16,104633.18645285437
2022-05-17,104649.47259396917
2022-05-18,104665.7612700196
2022-05-19,104682.05248140023
2022-05-20,104698.34622850566
2022-05-23,104714.64251173059
2022-05-24,104730.94133146977
2022-05-25,104747.24268811801
2022-05-26,104763.54658207018
2022-05-27,104779.85301372121
2022-05-30,104796.16198346608
2022-05-31,104812.47349169986
2022-06-01,104828.78753881765
2022-06-02,104845.10412521464
2022-06-03,104861.42325128606
2022-06-06,104877.74491742722
2022-06-07,104894.06912403347
2022-06-08,104910.39587150024
2022-06-09,104926.72516022301
2022-06-10,104943.05699059734
2022-06-13,104959.39136301882
2022-06-14,104975.72827788313
2022-06-15,104992.067735586
2022-06-16,105008.40973652322
2022-06-17,105024.75428109063
2022-06-20,105041.10136968417
2022-06-21,105057.4510026998
2022-06-22,105073.80318053358
2022-06-23,105090.15790358158
2022-06-24,105106.51517223999
2022-06-27,105122.87498690502
2022-06-28,105139.23734797296
2022-06-29,105155.60225584015
2022-06-30,105171.969710903
2022-07-01,105188.33971355799
2022-07-04,105204.71226420165
2022-07-05,105221.08736323056
2022-07-06,105237.4650110414
2022-07-07,105253.84520803086
2022-07-08,105270.22795459574
2022-07-11,105286.61325113288
2022-07-12,105303.00109803917
2022-07-13,105319.39149571159
2022-07-14,105335.78444454716
