Date,Ticker,Shares,Price,Value,Weight
<<<<<<< HEAD
2024-03-01,CASH,1,,547.3058116944467,0.005444212008980298
2024-03-01,SMCI,111,90.5479965209961,10050.827613830566,0.09997854074671499
2024-03-01,VST,187,53.66168975830078,10034.735984802246,0.09981847257618194
2024-03-01,BRBR,76,59.72999954223633,4539.479965209961,0.04515554341476454
2024-03-01,AROC,117,17.320619583129883,2026.5124912261963,0.020158316256363232
2024-03-01,DECK,66,150.54833984375,9936.1904296875,0.09883821093246518
2024-03-01,GAP,249,18.00086784362793,4482.2160930633545,0.044585922822839755
2024-03-01,CNM,130,48.970001220703125,6366.100158691406,0.06332547214694742
2024-03-01,TOL,62,115.09077453613281,7135.628021240234,0.07098019230707646
2024-03-01,XPO,79,120.5999984741211,9527.399879455566,0.09477185100136903
2024-03-01,HCC,35,56.994808197021484,1994.818286895752,0.019843044676665093
2024-03-01,SFM,65,63.38999938964844,4120.349960327148,0.04098633388482647
2024-03-01,NBIX,66,131.3000030517578,8665.800201416016,0.08620126539111563
2024-03-01,HRB,87,45.4837760925293,3957.088520050049,0.039362324282209225
2024-03-01,GDDY,88,113.72000122070312,10007.360107421875,0.09954615666576037
2024-03-01,NVT,106,67.33995819091797,7138.035568237305,0.07100414088572038
2024-07-01,CASH,1,,137.48407190971693,0.0012499727441478627
2024-07-01,AROC,189,19.241849899291992,3636.7096309661865,0.033064105928379064
2024-07-01,CNM,215,48.41999816894531,10410.299606323242,0.09464798784009242
2024-07-01,TOL,101,110.77474975585938,11188.249725341797,0.10172092677456292
2024-07-01,SFM,105,83.56999969482422,8774.849967956543,0.0797788655920455
2024-07-01,NVT,152,73.79000091552734,11216.080139160156,0.10197395433075974
2024-07-01,WSM,83,134.88059997558594,11195.089797973633,0.10178311510110158
2024-07-01,GFF,50,63.12642288208008,3156.321144104004,0.028696527147511416
2024-07-01,AZZ,32,75.23628997802734,2407.561279296875,0.021888979117254095
2024-07-01,CSL,28,391.17120361328125,10952.793701171875,0.09958021615572779
